action |Sun Nov 19 21:32:40 2023 - AposLog | ModelViews cleared | 5478ms
Log |Sun Nov 19 21:32:40 2023 - AposLog | status | 5478ms
Log |Sun Nov 19 21:32:40 2023 - AposLog | status | 5478ms
action |Sun Nov 19 21:32:40 2023 - AposLog | Database closed | 5478ms
Log |Sun Nov 19 21:32:40 2023 - AposLog | status | 5478ms
Log |Sun Nov 19 21:32:40 2023 - AposLog | status | 5478ms
status |Sun Nov 19 21:32:40 2023 - AposLog | Database closed | 5478ms
action |Sun Nov 19 21:32:40 2023 - AposLog | Buttons enabled/disabled | 5479ms
Log |Sun Nov 19 21:32:40 2023 - AposLog | status | 5479ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | init | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | init | 6069ms
action |Sun Nov 19 21:32:41 2023 - AposLog | Database initiated | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
action |Sun Nov 19 21:32:41 2023 - AposLog | C:\Users\Clean\Documents\Projekte\Apos-DatabaseManager\Project\resources\defaultDatabase\userDatabase.db opened | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
status |Sun Nov 19 21:32:41 2023 - AposLog | Database open | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6069ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6070ms
action |Sun Nov 19 21:32:41 2023 - AposLog | Buttons enabled/disabled | 6071ms
Log |Sun Nov 19 21:32:41 2023 - AposLog | status | 6071ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | closing | 7027ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | closing | 7027ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | closing | 7029ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | closing | 7029ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | closing | 7029ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | status | 7029ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | status | 7030ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | status | 7030ms
Log |Sun Nov 19 21:32:42 2023 - AposLog | status | 7030ms
Log |Sun Nov 19 21:32:42 2023 - AposLogger beeing destroyed | 7040ms
Log |Sun Nov 19 21:32:42 2023 - AposLog closing | 7040ms
